x,y,z,r
-1.91099,2.38836,1.28885,3.31923
-1.91099,2.38836,1.28885,3.31923
-1.22265,2.78477,0.810224,3.14742
-2.38485,2.259,1.57998,3.64512
-2.38485,2.259,1.57998,3.64512
-2.62715,1.35103,-1.69002,3.40344
-2.62715,1.35103,-1.69002,3.40344
0.0715105,1.29164,0.724281,1.48258
0.570185,1.77455,-1.21039,2.22243
0.570185,1.77455,-1.21039,2.22243
0.7099,2.28482,0.600754,2.46683
0.7099,2.28482,0.600754,2.46683
-0.330139,1.16281,3.19379,3.41488
-0.330139,1.16281,3.19379,3.41488
-0.330139,1.16281,3.19379,3.41488
-0.330139,1.16281,3.19379,3.41488
-0.330139,1.16281,3.19379,3.41488
1.30431,0.319845,1.69453,2.16216
1.30431,0.319845,1.69453,2.16216
2.00007,-0.497492,2.86447,3.52887
1.53566,1.89999,2.67212,3.62056
0.738167,-0.663198,3.43024,3.57089
0.738167,-0.663198,3.43024,3.57089
0.953704,0.938633,1.63117,2.10981
0.953704,0.938633,1.63117,2.10981
0.455457,0.394746,1.88604,1.98
0.885668,0.21007,-1.25439,1.54985
0.901424,1.66113,-0.876142,2.08316
1.92636,-0.0103263,-2.34721,3.0365
1.92636,-0.0103263,-2.34721,3.0365
1.92636,-0.0103263,-2.34721,3.0365
1.92636,-0.0103263,-2.34721,3.0365
1.87315,-1.47089,-4.09067,4.73348
0.343261,1.14739,-4.23545,4.40152
0.343261,1.14739,-4.23545,4.40152
0.343261,1.14739,-4.23545,4.40152
0.343261,1.14739,-4.23545,4.40152
0.343261,1.14739,-4.23545,4.40152
0.343261,1.14739,-4.23545,4.40152
1.73432,0.679214,-1.38138,2.31892
1.73432,0.679214,-1.38138,2.31892
1.73432,0.679214,-1.38138,2.31892
-0.416279,0.770221,1.20987,1.49342
-0.972549,-0.183175,-2.61333,2.79444
-0.972549,-0.183175,-2.61333,2.79444
-0.972549,-0.183175,-2.61333,2.79444
1.30745,-0.240922,-3.13713,3.40721
1.30745,-0.240922,-3.13713,3.40721
1.30745,-0.240922,-3.13713,3.40721
1.11268,-0.654027,-4.03573,4.23709
1.11268,-0.654027,-4.03573,4.23709
1.11268,-0.654027,-4.03573,4.23709
0.68854,1.33422,-4.27356,4.52963
0.68854,1.33422,-4.27356,4.52963
0.68854,1.33422,-4.27356,4.52963
0.68854,1.33422,-4.27356,4.52963
-1.25182,-0.364123,-4.00769,4.21441
0.0626036,3.53394,-2.06556,4.0938
-0.259896,4.19924,-3.93451,5.76034
-2.02663,2.48156,-6.66544,7.3955
-2.02663,2.48156,-6.66544,7.3955
-2.02663,2.48156,-6.66544,7.3955
-2.02663,2.48156,-6.66544,7.3955
-1.47317,4.29002,-7.68143,8.9207
-1.47317,4.29002,-7.68143,8.9207
-1.47317,4.29002,-7.68143,8.9207
0.310418,1.85769,-6.55769,6.82281
0.310418,1.85769,-6.55769,6.82281
0.310418,1.85769,-6.55769,6.82281
0.731774,1.16615,-4.24775,4.46528
0.731774,1.16615,-4.24775,4.46528
0.209531,2.16516,-4.20075,4.73055
0.209531,2.16516,-4.20075,4.73055
0.209531,2.16516,-4.20075,4.73055
0.209531,2.16516,-4.20075,4.73055
-0.289078,2.05867,-5.64988,6.0202
-0.725287,0.57114,-5.01679,5.10102
-0.725287,0.57114,-5.01679,5.10102
-0.725287,0.57114,-5.01679,5.10102
-0.725287,0.57114,-5.01679,5.10102
-2.75162,1.68223,-4.40678,5.46086
-2.75162,1.68223,-4.40678,5.46086
-0.67661,1.81583,-4.53559,4.9322
-0.67661,1.81583,-4.53559,4.9322
-0.67661,1.81583,-4.53559,4.9322
-0.67661,1.81583,-4.53559,4.9322
-0.67661,1.81583,-4.53559,4.9322
-0.841146,-0.774271,-6.43408,6.53486
-1.79819,-1.1943,-4.61111,5.09139
-1.79819,-1.1943,-4.61111,5.09139
-2.21957,-1.70082,-3.32572,4.34508
-1.56197,-0.825142,-4.06129,4.42885
0.439249,2.6042,-3.7663,4.59998
0.439249,2.6042,-3.7663,4.59998
