x,y,z,r
-0.323077,0.278447,-0.982002,1.07063
-0.323077,0.278447,-0.982002,1.07063
-1.55462,1.05379,0.220304,1.89099
-1.68724,0.830864,0.102719,1.88352
-1.55276,0.741995,0.358713,1.75792
-1.55276,0.741995,0.358713,1.75792
-0.620901,0.813697,-0.704527,1.24257
-2.20029,-0.117238,0.520724,2.26411
-2.20029,-0.117238,0.520724,2.26411
-2.10742,0.0641999,-0.541145,2.17674
-2.10742,0.0641999,-0.541145,2.17674
-2.10742,0.0641999,-0.541145,2.17674
-2.10742,0.0641999,-0.541145,2.17674
-0.787106,-0.407353,0.10368,0.892313
-0.787106,-0.407353,0.10368,0.892313
-0.585365,-0.141115,-0.352411,0.697681
-0.585365,-0.141115,-0.352411,0.697681
-0.585365,-0.141115,-0.352411,0.697681
-0.585365,-0.141115,-0.352411,0.697681
-0.624648,-0.482223,-0.383862,0.877539
-0.624648,-0.482223,-0.383862,0.877539
-0.624648,-0.482223,-0.383862,0.877539
-0.624648,-0.482223,-0.383862,0.877539
-0.827046,-0.82721,0.441415,1.25025
-1.9902,0.0967566,1.13458,2.29293
-2.23252,0.656313,-0.314804,2.34819
-1.88894,0.124812,0.131834,1.89765
-1.88894,0.124812,0.131834,1.89765
-1.88894,0.124812,0.131834,1.89765
-1.63495,0.0418713,0.479828,1.70442
-1.63495,0.0418713,0.479828,1.70442
-0.44726,-0.00641979,0.996123,1.09194
-0.44726,-0.00641979,0.996123,1.09194
-0.44726,-0.00641979,0.996123,1.09194
-0.44726,-0.00641979,0.996123,1.09194
-1.19304,0.770963,0.138518,1.42721
-0.949351,0.649884,0.0340626,1.15099
-0.949351,0.649884,0.0340626,1.15099
-0.949351,0.649884,0.0340626,1.15099
-0.949351,0.649884,0.0340626,1.15099
-0.477163,0.231138,0.993068,1.12574
-0.477163,0.231138,0.993068,1.12574
-0.777568,0.049503,0.929351,1.21275
-0.777568,0.049503,0.929351,1.21275
-0.777568,0.049503,0.929351,1.21275
-1.17104,-0.267172,0.663449,1.37218
-0.296694,0.024371,0.591276,0.661988
-0.301522,0.476536,-0.037164,0.56514
-0.301522,0.476536,-0.037164,0.56514
-0.301522,0.476536,-0.037164,0.56514
-0.381514,-0.840783,0.279934,0.964796
-0.381514,-0.840783,0.279934,0.964796
-0.381514,-0.840783,0.279934,0.964796
-0.381514,-0.840783,0.279934,0.964796
-0.381514,-0.840783,0.279934,0.964796
-0.381514,-0.840783,0.279934,0.964796
-0.381514,-0.840783,0.279934,0.964796
-0.381514,-0.840783,0.279934,0.964796
-0.322426,-0.259724,0.665759,0.783996
0.397367,0.11237,1.10016,1.17511
0.397367,0.11237,1.10016,1.17511
0.399677,0.589395,0.376334,0.805453
0.337964,1.01529,0.0931835,1.07411
0.337964,1.01529,0.0931835,1.07411
0.337964,1.01529,0.0931835,1.07411
0.337964,1.01529,0.0931835,1.07411
0.337964,1.01529,0.0931835,1.07411
-0.514469,0.517084,0.560455,0.919872
-0.514469,0.517084,0.560455,0.919872
-0.514469,0.517084,0.560455,0.919872
-0.514469,0.517084,0.560455,0.919872
-0.514469,0.517084,0.560455,0.919872
-0.514469,0.517084,0.560455,0.919872
-0.514469,0.517084,0.560455,0.919872
-0.514469,0.517084,0.560455,0.919872
-0.514469,0.517084,0.560455,0.919872
-0.514469,0.517084,0.560455,0.919872
-1.73629,-0.0518066,0.501637,1.80805
-0.8409,0.44317,-0.65382,1.15369
-0.8409,0.44317,-0.65382,1.15369
-0.8409,0.44317,-0.65382,1.15369
-0.8409,0.44317,-0.65382,1.15369
-0.760914,-0.14398,-0.385114,0.864889
0.807434,-0.34889,0.0187468,0.879787
0.544547,0.280686,0.188577,0.640998
0.544547,0.280686,0.188577,0.640998
0.544547,0.280686,0.188577,0.640998
0.544547,0.280686,0.188577,0.640998
0.845443,-0.621977,0.34096,1.10358
-0.473126,0.0698196,0.390928,0.617696
-0.473126,0.0698196,0.390928,0.617696
-0.405428,-0.100426,0.453288,0.616382
