sum_prog,sum2_prog,err_prog
0.0837402,0.00701761,0.000266586
0.0837598,0.00702084,0.0002637
0.0837463,0.00701853,0.000260528
0.0837352,0.00701662,0.000257334
0.0837228,0.00701449,0.000254292
0.0837243,0.00701467,0.000251036
0.0836995,0.00701051,0.000249081
0.0836932,0.0070094,0.000246046
0.0836787,0.00700693,0.000243437
0.0836146,0.00699648,0.000248761
0.0836109,0.0069958,0.000245791
0.0836164,0.00699665,0.000242924
0.0835998,0.00699386,0.000240626
0.083634,0.00699961,0.000240239
0.0836134,0.00699615,0.000238356
0.0836403,0.00700065,0.000237159
0.0836296,0.00699882,0.000234736
0.0836248,0.00699795,0.000232178
0.0836547,0.00700299,0.000231548
0.0836029,0.00699452,0.000234745
0.0835982,0.00699368,0.000232268
0.0835912,0.00699246,0.000229903
0.0835617,0.00698756,0.000229368
0.0835625,0.00698763,0.00022698
0.0835776,0.00699012,0.00022514
0.0835449,0.00698472,0.000225202
0.0835353,0.00698307,0.00022313
0.0835421,0.00698416,0.000221002
0.0835564,0.00698654,0.00021928
0.0835194,0.00698044,0.000220234
0.0834847,0.00697471,0.000220819
0.0834881,0.00697524,0.000218723
0.0834878,0.00697514,0.00021664
0.0835009,0.00697729,0.000214988
0.0834772,0.00697336,0.000214273
0.0834706,0.00697221,0.000212391
0.0834679,0.00697172,0.00021046
0.0834497,0.00696867,0.000209331
0.083446,0.00696801,0.000207478
0.0834264,0.00696475,0.000206543
0.0834188,0.00696343,0.000204858
0.0834645,0.00697126,0.000208104
0.0834461,0.00696818,0.000207107
0.0834297,0.00696544,0.000205969
0.0834131,0.00696266,0.000204875
0.0834463,0.00696828,0.000205803
0.0834337,0.00696616,0.000204455
0.0834282,0.0069652,0.000202826
0.0834098,0.00696213,0.000201986
0.0834156,0.00696306,0.000200414
0.0834255,0.00696468,0.000199029
0.083429,0.00696523,0.000197454
0.0834296,0.00696529,0.000195876
0.0834338,0.00696596,0.000194368
0.0834449,0.00696779,0.000193154
0.0834635,0.0069709,0.000192537
0.0834708,0.00697208,0.000191181
0.0834825,0.00697402,0.000190069
0.083436,0.00696651,0.00019422
0.0834305,0.00696556,0.000192826
0.0834452,0.006968,0.000191932
0.083433,0.00696594,0.000190887
0.0834115,0.00696238,0.00019068
0.0833976,0.00696006,0.000189781
0.0833704,0.00695559,0.000190332
0.0833633,0.00695438,0.000189085
0.0833495,0.00695207,0.000188228
0.0833766,0.00695665,0.000188823
0.0833939,0.00695955,0.000188277
0.0833973,0.00696008,0.000186982
0.0834274,0.0069652,0.000188083
0.0834408,0.00696741,0.00018725
0.0834607,0.00697077,0.000187019
0.083469,0.00697212,0.00018592
0.0834775,0.00697351,0.00018485
0.0835111,0.00697925,0.000186624
0.0835204,0.00698079,0.000185604
0.0835264,0.00698176,0.000184464
0.0835184,0.00698041,0.000183413
0.0835053,0.0069782,0.000182677
0.0835142,0.00697967,0.000181701
0.0835205,0.0069807,0.00018063
0.0835293,0.00698214,0.000179677
0.0835282,0.00698194,0.000178528
0.08354,0.0069839,0.000177782
0.0835255,0.00698147,0.000177251
0.0835146,0.00697965,0.000176468
0.0835151,0.00697969,0.000175365
0.0835149,0.00697963,0.000174276
0.0835287,0.00698194,0.000173748
0.0835475,0.0069851,0.000173691
0.0835318,0.00698249,0.000173336
0.0835198,0.00698047,0.000172703
0.0835142,0.00697951,0.000171753
0.083523,0.00698097,0.00017095
0.0834998,0.00697716,0.000171494
